Date,AdjClose
5/24/13,58.912082
5/28/13,58.421094
5/29/13,58.885613
5/30/13,59.763042
5/31/13,59.518212
6/3/13,59.649229
6/4/13,59.462624
6/5/13,58.906788
6/6/13,58.026713
6/7/13,58.47006
6/10/13,58.08362
6/11/13,57.9129
6/12/13,57.196928
6/13/13,57.695857
6/14/13,56.913717
6/17/13,57.171785
6/18/13,57.141343
6/19/13,55.980703
6/20/13,55.165479
6/21/13,54.723456
6/24/13,53.272986
6/25/13,53.284895
6/26/13,52.681415
6/27/13,52.113667
6/28/13,52.477611
7/1/13,54.15703
7/2/13,55.383843
7/3/13,55.689551
7/5/13,55.242235
7/8/13,54.928586
7/9/13,55.894681
7/10/13,55.680289
7/11/13,56.548451
7/12/13,56.445226
7/15/13,56.568305
7/16/13,56.933567
7/17/13,56.948127
7/18/13,57.140022
7/19/13,56.238771
7/22/13,56.418757
7/23/13,55.450012
7/24/13,58.298015
7/25/13,58.032007
7/26/13,58.361541
7/29/13,59.261466
7/30/13,59.993319
7/31/13,59.888765
8/1/13,60.437984
8/2/13,61.213509
8/5/13,62.127995
8/6/13,61.572159
8/7/13,61.536424
8/8/13,61.413866
8/9/13,60.539964
8/12/13,62.259787
8/13/13,65.218507
8/14/13,66.408129
8/15/13,66.329528
8/16/13,66.918345
8/19/13,67.639044
8/20/13,66.750493
8/21/13,66.922344
8/22/13,67.002268
8/23/13,66.743834
8/26/13,67.003606
8/27/13,65.087956
8/28/13,65.395687
8/29/13,65.502262
8/30/13,64.905455
9/3/13,65.086626
9/4/13,66.433443
9/5/13,65.977837
9/6/13,66.370828
9/9/13,67.429892
9/10/13,65.893915
9/11/13,62.306408
9/12/13,62.969828
9/13/13,61.932072
9/16/13,59.963142
9/17/13,60.655866
9/18/13,61.902767
9/19/13,62.917871
9/20/13,62.266446
9/23/13,65.361053
9/24/13,65.1559
9/25/13,64.147455
9/26/13,64.772236
9/27/13,64.309979
9/30/13,63.510679
10/1/13,65.004034
10/2/13,65.217177
10/3/13,64.3979
10/4/13,64.34728
10/7/13,64.976059
10/8/13,64.068854
10/9/13,64.821525
10/10/13,65.227834
10/11/13,65.650129
10/14/13,66.080414
10/15/13,66.432105
10/16/13,66.755822
10/17/13,67.207422
10/18/13,67.79224
10/21/13,69.453447
10/22/13,69.254953
10/23/13,69.933021
10/24/13,70.858873
10/25/13,70.06624
10/28/13,70.588444
10/29/13,68.829996
10/30/13,69.925031
10/31/13,69.63195
11/1/13,69.276268
11/4/13,70.171478
11/5/13,69.998296
11/6/13,69.799983
11/7/13,68.670418
11/8/13,69.751745
11/11/13,69.549415
11/12/13,69.678045
11/13/13,69.761126
11/14/13,70.770098
